sentence_id,prompt_ru,answer_en,transcription,audio_filename
2,Я должен работать над моими ошибками,I must work on my mistakes,[aɪ mʌst wɜ:k ɒn maɪ mɪsˈteɪks],A2_L145_S2.mp3
3,Мне следует прийти?,Should I come?,[ʃʊd aɪ kʌm?],A2_L145_S3.mp3
4,Она не может помочь нам,She can’t help us,[ʃi: kɑ:nt help ʌs],A2_L145_S4.mp3
5,Он может нам помочь,He is able to help us,[hi: ɪz ˈeɪbl tu: help ʌs],A2_L145_S5.mp3
6,Она сможет сделать это,She will be able to do it,[ʃi: wɪl bi: ˈeɪbl tu: du: ɪt],A2_L145_S6.mp3
7,Мне приходится работать в воскресенье,I have to work on Sunday,[aɪ hæv tu: wɜ:k ɒn ˈsʌndeɪ],A2_L145_S7.mp3
8,Я тоже могу это сделать,I can also do it,[aɪ kæn ˈɔ:lsəʊ du: ɪt],A2_L145_S8.mp3
9,Может ли она объяснить нам это?,Can she explain it to us?,[kæn ʃi: ɪksˈpleɪn ɪt tu: ʌs?],A2_L145_S9.mp3
10,Мы могли бы сделать это прямо сейчас,We could do it right now,[wi: kʊd du: ɪt raɪt naʊ],A2_L145_S10.mp3
11,Могу я открыть окно?,Can I open the window?,[kæn aɪ ˈəʊpən ðə ˈwɪndəʊ?],A2_L145_S11.mp3
12,Я не могу решить эту проблему прямо сейчас,I can't solve this problem right now,[aɪ kɑ:nt sɒlv ðɪs ˈprɒbləm raɪt naʊ],A2_L145_S12.mp3
13,Он не может сказать это точно прямо сейчас,He can't say it exactly right now,[hi: kɑ:nt seɪ ɪt ɪgˈzæktli raɪt naʊ],A2_L145_S13.mp3
14,Могу я задать тебе вопрос?,Can I ask you a question?,[kæn aɪ ɑ:sk ju: ə ˈkwesʧən?],A2_L145_S14.mp3
15,Я не могу сказать это точно в настоящее время,I can't say it exactly at present,[aɪ kɑ:nt seɪ ɪt ɪgˈzæktli æt ˈpreznt],A2_L145_S15.mp3
16,Мне не нужно было за это платить,I didn't need to pay for it,[aɪ dɪdnt ni:d tu: peɪ fɔ: ɪt],A2_L145_S16.mp3
17,Ты можешь не одобрить это решение,You might not approve of this decision,[ju: maɪt nɒt əˈpru:v ɒv ðɪs dɪˈsɪʒən],A2_L145_S17.mp3
18,Могу я задать тебе один вопрос?,May I ask you a question?,[meɪ aɪ ɑ:sk ju: ə ˈkwesʧən?],A2_L145_S18.mp3
19,Ему следует учиться усерднее,He should study harder,[hi: ʃʊd ˈstʌdi ˈhɑ:də],A2_L145_S19.mp3
